gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
977175726,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267781,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Big Basin SP - Headquarters Area,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.17268,-122.222084,,,,,,,5/21/01,21,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267781,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:30:52.665Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977173485,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267766,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.08247,-122.11542,,,,,,,5/6/01,6,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267766,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:30.198Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977173280,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225267762,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Fall Creek Unit of Henry Cowell SP - Truck Trail (old growth),California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.08247,-122.11542,,,,,,,5/4/01,4,5,2001,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225267762,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:31.851Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977150608,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225153255,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Natural Bridges SB--overlook,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.949413,-122.05647,,,,,,,7/15/11,15,7,2011,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS225153255,,,,CC_BY_4_0,,obsr203208,,,2024-01-24T21:33:02.307Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
977002278,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS224989168,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Davenport (town),California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.011646,-122.19352,,,,,,,6/9/12,9,6,2012,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS224989168,,,,CC_BY_4_0,,obsr446156,,,2024-01-24T20:26:30.217Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976805137,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS224475941,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Half Moon Bay SB--Venice Beach and Pilarcitos/Frenchman's Creek Mouth,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.47705,-122.44928,,,,,,,12/28/13,28,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS224475941,,,,CC_BY_4_0,,obsr193088,,,2024-01-24T21:33:46.866Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976730468,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223879526,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Ocean Beach--seawatch across from Oceanside Water Polution Plant,California,PRESENT,54,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.7294,-122.506905,,,,,,,12/31/13,31,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223879526,,,,CC_BY_4_0,,obsr237468,,,2024-01-24T21:09:25.106Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976528610,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223401882,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Ocean Beach--seawatch across from Oceanside Water Polution Plant,California,PRESENT,12,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.7294,-122.506905,,,,,,,12/31/13,31,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223401882,,,,CC_BY_4_0,,obsr86402,,,2024-01-24T21:31:34.043Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976211509,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223149983,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Seacliff SB,California,PRESENT,8,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.970913,-121.91318,,,,,,,6/9/07,9,6,2007,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223149983,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:10:59.944Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976211121,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223149979,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Monterey Bay Academy Beach,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.906494,-121.846016,,,,,,,6/9/07,9,6,2007,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223149979,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:25.896Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976210787,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223149978,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Sunset SB - northern beach access,California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.89663,-121.83846,,,,,,,6/9/07,9,6,2007,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223149978,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:33:09.294Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976210086,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223149967,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Manresa SB (north access),California,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.931747,-121.86228,,,,,,,6/4/07,4,6,2007,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223149967,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:25.920Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976209891,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223149965,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Panther Beach,California,PRESENT,22,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.003754,-122.18535,,,,,,,6/2/07,2,6,2007,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223149965,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:09:37.736Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976209692,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223149963,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Waddell Creek Beach,California,PRESENT,8,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.09585,-122.2786,,,,,,,6/1/07,1,6,2007,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223149963,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:10:08.324Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976209116,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223149950,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Portola SP - Peters Creek Bridge MAMU Station,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.252323,-122.217674,,,,,,,5/23/07,23,5,2007,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223149950,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T21:08:50.559Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976120134,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS222968164,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Gazos Mountain Camp,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.199818,-122.29121,,,,,,,6/11/06,11,6,2006,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS222968164,,,,CC_BY_4_0,,obsr90708,,,2024-01-24T20:26:25.620Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975821631,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS222687456,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Zils Road--seawatch,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.910503,-121.84793,,,,,,,12/26/13,26,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS222687456,,,,CC_BY_4_0,,obsr189374,,,2024-01-24T21:09:46.890Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975760097,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS222490304,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Pescadero Marsh and Natural Preserve--(east of Hwy 1 only),California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.266766,-122.40961,,,,,,,11/22/13,22,11,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS222490304,,,,CC_BY_4_0,,obsr193088,,,2024-01-24T20:26:24.694Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975640328,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS222485510,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Moss Beach Distillery-Seawatch,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.517693,-122.513405,,,,,,,11/9/13,9,11,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS222485510,,,,CC_BY_4_0,,obsr193088,,,2024-01-24T21:09:22.005Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975524085,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS222290597,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Terrace Pt. and Coastal Science Campus,California,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.950836,-122.06398,,,,,,,12/22/13,22,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS222290597,,,,CC_BY_4_0,,obsr189374,,,2024-01-24T21:10:05.701Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975177266,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS221820885,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Blufftop Coastal Park and Poplar Beach,California,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.454388,-122.44387,,,,,,,12/18/13,18,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS221820885,,,,CC_BY_4_0,,obsr54836,,,2024-01-24T20:26:27.624Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975168125,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223252224,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Half Moon Bay SB--Venice Beach and Pilarcitos/Frenchman's Creek Mouth,California,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.47705,-122.44928,,,,,,,8/24/95,24,8,1995,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS223252224,,,,CC_BY_4_0,,obsr392133,,,2024-01-24T21:08:35.373Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975120643,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS221845856,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Ocean Beach--seawatch across from Oceanside Water Polution Plant,California,PRESENT,15,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.7294,-122.506905,,,,,,,12/18/13,18,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS221845856,,,,CC_BY_4_0,,obsr131078,,,2024-01-24T21:09:24.717Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975119636,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS221844897,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Ocean Beach--seawatch across from Oceanside Water Polution Plant,California,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.7294,-122.506905,,,,,,,12/15/13,15,12,2013,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD,OBS221844897,,,,CC_BY_4_0,,obsr131078,,,2024-01-24T20:26:23.506Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
974587201,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS221070435,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,SPECIES,"Brachyramphus marmoratus (J.F.Gmelin, 1789)",Brachyramphus marmoratus,,US,Pigeon Pt.,California,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.182,-122.394,,,,,,,10/1/11,1,10,2011,5229281,5229281,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS221070435,,,,CC_BY_4_0,,obsr309485,,,2024-01-24T21:09:21.624Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
